batch_id,timestamp,granulation_time,binder_amount,drying_temp,drying_time,compression_force,machine_speed,energy_consumption,yield_pct,quality_pct,performance_score
BATCH_1023,2026-03-27 18:13:30,25.75,10.28,46.91,98.08,23.92,24.01,284.73,84.07,70.3,56.42
BATCH_1024,2026-03-27 22:13:30,34.56,9.46,30.0,37.61,16.61,62.77,152.31,88.94,50.0,54.75
BATCH_1025,2026-03-28 02:13:30,41.11,6.87,61.84,67.23,18.41,27.65,270.9,91.18,89.74,67.51
BATCH_1026,2026-03-28 06:13:30,28.49,6.08,78.01,78.81,16.09,29.68,375.91,89.7,77.07,58.28
BATCH_1027,2026-03-28 10:13:30,43.76,6.24,72.39,83.98,18.7,35.6,356.52,93.05,78.25,60.76
BATCH_1028,2026-03-28 14:13:30,33.99,7.23,62.1,64.8,27.99,52.88,307.14,90.97,91.95,67.08
BATCH_1029,2026-03-28 18:13:30,37.08,3.95,55.08,75.69,24.01,40.15,295.31,91.09,90.38,66.9
BATCH_1030,2026-03-28 22:13:30,33.98,5.49,68.07,25.23,24.31,27.64,132.12,83.34,62.39,58.15
BATCH_1031,2026-03-29 02:13:30,58.52,2.66,50.26,61.84,12.92,52.54,232.6,73.17,80.31,57.84
BATCH_1032,2026-03-29 06:13:30,39.87,6.8,64.76,84.07,14.24,47.31,353.62,82.66,89.43,61.17
BATCH_1033,2026-03-29 10:13:30,29.42,7.29,65.05,55.35,5.8,45.38,202.48,71.64,81.19,58.6
BATCH_1034,2026-03-29 14:13:30,48.23,5.03,70.6,76.18,15.95,47.16,331.82,89.82,84.39,62.76
BATCH_1035,2026-03-29 18:13:30,27.79,9.15,87.6,83.94,24.78,63.94,509.35,88.34,62.78,47.49
BATCH_1036,2026-03-29 22:13:30,42.09,3.55,63.92,68.15,22.58,61.85,363.55,87.0,93.52,64.2
BATCH_1037,2026-03-30 02:13:30,20.4,3.07,54.91,78.41,18.89,33.13,250.13,88.04,91.76,67.77
BATCH_1038,2026-03-30 06:13:30,26.72,6.45,59.74,55.75,19.89,56.24,281.67,90.83,86.03,65.53
BATCH_1039,2026-03-30 10:13:30,41.97,8.09,42.31,70.87,16.56,43.83,241.21,85.53,73.41,59.73
BATCH_1040,2026-03-30 14:13:30,47.38,9.37,53.05,87.2,21.02,44.99,654.98,86.24,86.79,51.31
BATCH_1041,2026-03-30 18:13:30,41.71,5.08,55.91,78.14,23.83,23.08,301.56,92.67,94.85,69.11
BATCH_1042,2026-03-30 22:13:30,38.84,8.16,54.76,63.27,11.92,38.3,262.2,83.86,84.3,62.7
BATCH_1043,2026-03-31 02:13:30,36.99,5.92,61.52,79.48,21.5,31.87,312.48,96.18,97.2,71.08
BATCH_1044,2026-03-31 06:13:30,25.21,5.65,51.78,89.29,24.66,48.28,340.67,87.01,80.97,59.96
BATCH_1045,2026-03-31 10:13:30,32.8,7.77,71.21,34.0,17.92,50.71,203.93,95.84,66.28,62.27
BATCH_1046,2026-03-31 14:13:30,35.39,7.3,60.0,98.18,23.5,19.26,348.49,99.9,84.17,66.14
BATCH_1047,2026-03-31 18:13:30,50.57,2.85,59.91,68.27,34.07,39.78,361.22,71.32,97.07,59.43
BATCH_1048,2026-03-31 22:13:30,43.44,8.95,56.72,83.51,19.48,51.22,318.19,91.64,88.52,65.6
BATCH_1049,2026-04-01 02:13:30,22.37,8.76,61.55,98.94,21.97,38.13,369.79,94.41,84.8,63.46
BATCH_1050,2026-04-01 06:13:30,43.24,4.75,68.25,47.57,16.31,47.29,266.3,82.13,74.88,58.1
BATCH_1051,2026-04-01 10:13:30,36.15,6.79,51.33,60.81,20.91,43.51,262.22,97.6,85.44,68.66
BATCH_1052,2026-04-01 14:13:30,33.23,6.99,53.42,69.23,22.3,43.42,273.54,99.9,92.62,72.06
BATCH_1053,2026-04-01 18:13:30,46.12,6.52,56.96,59.32,20.97,37.29,267.4,89.37,87.96,66.19
BATCH_1054,2026-04-01 22:13:30,50.31,4.9,46.54,109.7,14.9,27.83,318.73,86.14,65.01,53.98
BATCH_1055,2026-04-02 02:13:30,49.31,4.66,51.81,57.86,21.03,28.78,245.48,95.04,82.85,67.16
BATCH_1056,2026-04-02 06:13:30,31.61,5.95,55.24,63.89,27.31,47.09,296.27,84.62,89.91,64.09
BATCH_1057,2026-04-02 10:13:30,36.91,8.35,68.74,79.09,22.24,40.19,377.2,96.1,85.34,64.11
BATCH_1058,2026-04-02 14:13:30,43.31,7.09,62.63,50.96,24.81,38.61,297.49,93.8,82.7,64.84
BATCH_1059,2026-04-02 18:13:30,49.76,5.26,61.94,67.09,18.81,35.76,295.43,88.29,93.0,66.83
BATCH_1060,2026-04-02 22:13:30,35.21,7.54,68.51,81.35,23.75,36.95,367.2,91.04,84.05,61.91
BATCH_1061,2026-04-03 02:13:30,38.14,1.0,58.63,68.34,21.4,50.47,316.63,86.09,96.37,66.58
BATCH_1062,2026-04-03 06:13:30,28.94,8.3,63.9,73.13,15.25,36.65,445.79,80.71,94.09,59.12
BATCH_1063,2026-04-03 10:13:30,28.04,2.52,58.97,64.41,21.59,26.59,285.68,94.84,89.17,68.25
BATCH_1064,2026-04-03 14:13:30,48.13,5.28,62.65,44.71,15.04,47.44,223.91,81.83,80.53,61.69
BATCH_1065,2026-04-03 18:13:30,53.56,3.76,54.17,81.43,16.84,37.95,294.37,86.29,88.54,64.28
BATCH_1066,2026-04-03 22:13:30,39.28,3.41,35.61,110.1,20.95,40.31,270.7,85.12,50.0,49.2
BATCH_1067,2026-04-04 02:13:30,50.04,8.32,58.66,75.37,21.49,56.08,358.91,94.16,99.9,69.78
BATCH_1068,2026-04-04 06:13:30,43.62,5.06,74.23,79.51,14.05,39.79,374.63,84.23,78.08,56.54
BATCH_1069,2026-04-04 10:13:30,33.55,6.69,69.26,88.85,25.27,42.89,403.74,90.49,77.63,57.88
BATCH_1070,2026-04-04 14:13:30,43.61,5.91,69.65,49.61,22.86,28.21,254.83,91.84,75.37,62.58
BATCH_1071,2026-04-04 18:13:30,55.38,6.95,72.36,109.05,16.48,37.8,449.44,87.7,65.42,50.33
BATCH_1072,2026-04-04 22:13:30,39.64,6.15,60.89,79.05,12.31,46.1,308.64,84.86,97.88,66.96
BATCH_1073,2026-04-05 02:13:30,55.65,3.43,61.97,107.64,19.28,24.45,809.05,88.23,81.69,44.83
BATCH_1074,2026-04-05 06:13:30,15.0,7.99,53.82,60.34,17.77,42.01,255.21,89.68,83.49,64.94
BATCH_1075,2026-04-05 10:13:30,48.22,5.01,56.84,111.36,20.57,41.01,614.91,92.0,75.43,50.43
BATCH_1076,2026-04-05 14:13:30,40.87,2.89,66.16,90.5,18.18,40.41,359.42,81.8,81.62,57.5
BATCH_1077,2026-04-05 18:13:30,37.01,5.14,72.04,86.06,9.96,50.37,355.21,82.28,75.88,55.54
BATCH_1078,2026-04-05 22:13:30,40.92,9.0,58.61,79.68,18.06,43.34,296.51,87.08,95.12,67.15
BATCH_1079,2026-04-06 02:13:30,20.12,7.7,55.5,70.03,18.47,54.78,562.87,92.18,88.73,57.59
BATCH_1080,2026-04-06 06:13:30,37.8,5.3,60.01,99.01,23.17,30.06,394.91,95.37,87.67,64.15
BATCH_1081,2026-04-06 10:13:30,43.57,5.3,66.01,77.81,16.51,41.36,338.02,88.59,88.58,63.73
BATCH_1082,2026-04-06 14:13:30,54.78,5.36,45.56,35.66,28.39,40.84,219.72,85.77,61.59,55.82
BATCH_1083,2026-04-06 18:13:30,34.82,10.15,37.04,52.66,10.44,29.31,141.41,85.16,59.38,57.36
BATCH_1084,2026-04-06 22:13:30,31.92,6.76,54.49,71.28,26.56,49.56,530.89,92.8,89.69,59.31
BATCH_1085,2026-04-07 02:13:30,34.98,6.86,47.79,81.2,18.88,63.25,302.05,95.67,84.46,66.14
BATCH_1086,2026-04-07 06:13:30,49.15,8.06,54.92,73.87,24.3,39.83,300.18,90.83,94.58,68.32
BATCH_1087,2026-04-07 10:13:30,43.29,6.48,58.52,99.38,20.4,45.05,362.74,96.97,84.83,64.74
BATCH_1088,2026-04-07 14:13:30,34.7,5.48,55.47,35.98,25.7,40.85,205.07,90.06,77.42,64.38
BATCH_1089,2026-04-07 18:13:30,45.13,5.61,74.52,77.87,18.06,32.86,359.62,84.68,78.47,57.39
BATCH_1090,2026-04-07 22:13:30,40.97,5.86,63.27,38.64,14.51,21.79,179.19,81.49,75.16,60.92
BATCH_1091,2026-04-08 02:13:30,49.69,5.93,63.0,90.19,27.1,32.94,381.8,85.49,87.14,60.43
BATCH_1092,2026-04-08 06:13:30,32.98,7.46,66.22,73.11,19.43,26.08,296.67,94.74,92.83,69.3
BATCH_1093,2026-04-08 10:13:30,36.72,6.1,48.61,83.39,21.11,57.04,304.31,93.24,78.38,62.66
BATCH_1094,2026-04-08 14:13:30,36.08,7.47,70.39,57.72,26.17,38.85,303.62,91.51,73.82,60.16
BATCH_1095,2026-04-08 18:13:30,25.36,5.84,59.24,100.59,14.84,36.54,365.1,85.53,85.0,60.15
BATCH_1096,2026-04-08 22:13:30,42.96,6.16,66.7,95.83,22.98,48.89,413.83,93.62,79.52,59.54
BATCH_1097,2026-04-09 02:13:30,42.61,2.0,49.28,86.67,17.05,28.78,511.11,82.37,79.9,51.89
BATCH_1098,2026-04-09 06:13:30,40.05,7.83,44.46,72.41,19.34,32.33,234.52,87.86,78.0,62.73
BATCH_1099,2026-04-09 10:13:30,37.65,6.69,68.18,86.6,20.36,40.68,369.53,95.41,83.63,63.41
BATCH_1100,2026-04-09 14:13:30,25.85,8.0,63.76,60.86,12.5,50.29,248.43,79.9,87.48,62.86
BATCH_1101,2026-04-09 18:13:30,35.79,1.0,50.98,92.11,16.11,45.02,314.15,72.79,77.81,53.91
BATCH_1102,2026-04-09 22:13:30,36.57,10.18,51.3,107.99,26.76,42.48,369.23,81.42,67.38,51.32
BATCH_1103,2026-04-10 02:13:30,31.98,5.72,71.25,96.41,24.43,40.78,444.43,96.02,77.59,58.69
BATCH_1104,2026-04-10 06:13:30,38.39,8.22,48.11,60.41,19.69,44.0,220.36,90.76,77.64,64.22
BATCH_1105,2026-04-10 10:13:30,44.04,3.92,76.43,82.23,21.22,42.02,423.5,88.11,78.03,56.42
BATCH_1106,2026-04-10 14:13:30,58.86,7.23,50.99,49.14,18.53,29.7,233.81,89.67,72.08,61.1
BATCH_1107,2026-04-10 18:13:30,41.75,3.89,66.38,86.45,26.78,40.46,381.59,87.95,86.79,61.28
BATCH_1108,2026-04-10 22:13:30,42.58,4.75,56.71,84.01,19.0,29.26,312.01,90.97,93.44,67.51
BATCH_1109,2026-04-11 02:13:30,39.26,9.83,66.03,37.6,21.16,40.81,201.96,88.1,71.79,61.44
BATCH_1110,2026-04-11 06:13:30,20.81,5.62,54.56,51.76,25.73,35.19,239.67,91.93,77.36,63.92
BATCH_1111,2026-04-11 10:13:30,39.73,6.43,58.37,69.34,16.11,65.39,287.55,88.94,92.89,67.31
BATCH_1112,2026-04-11 14:13:30,40.6,7.74,60.41,68.98,27.79,39.6,323.92,83.1,95.09,64.62
BATCH_1113,2026-04-11 18:13:30,64.63,6.99,49.98,50.81,12.35,25.96,171.83,83.65,74.06,61.59
BATCH_1114,2026-04-11 22:13:30,38.08,6.3,67.41,82.78,28.15,38.66,381.99,89.56,83.39,60.55
BATCH_1115,2026-04-12 02:13:30,43.02,6.73,54.87,80.03,18.14,45.19,291.17,94.3,92.08,69.0
BATCH_1116,2026-04-12 06:13:30,39.65,10.81,57.71,71.11,18.79,56.73,322.64,84.57,94.54,65.03
BATCH_1117,2026-04-12 10:13:30,28.31,5.88,50.06,59.88,10.55,34.11,180.27,82.59,80.42,63.43
BATCH_1118,2026-04-12 14:13:30,51.43,6.4,34.38,95.97,17.73,24.18,465.96,91.14,60.1,49.01
BATCH_1119,2026-04-12 18:13:30,47.52,8.1,58.09,108.11,14.8,48.17,389.63,84.0,80.81,57.03
BATCH_1120,2026-04-12 22:13:30,47.91,8.21,84.13,65.33,16.96,26.19,332.57,84.12,63.0,51.9
BATCH_1121,2026-04-13 02:13:30,30.91,8.37,67.85,62.76,19.31,35.64,285.62,89.22,82.33,63.26
BATCH_1122,2026-04-13 06:13:30,54.03,7.28,59.81,84.82,24.79,37.42,536.31,95.4,92.57,61.32
BATCH_1123,2026-04-13 10:13:30,25.98,3.71,57.37,67.84,21.04,39.3,276.9,86.45,91.97,66.31
BATCH_1124,2026-04-13 14:13:30,45.87,9.27,60.22,72.21,21.54,46.89,344.13,93.67,96.29,68.64
BATCH_1125,2026-04-13 18:13:30,61.9,3.71,65.47,89.79,14.52,33.16,351.75,83.91,86.64,60.61
BATCH_1126,2026-04-13 22:13:30,30.09,6.61,48.19,36.81,15.6,37.26,167.82,88.12,66.36,60.44
BATCH_1127,2026-04-14 02:13:30,34.34,4.49,71.14,101.37,28.99,39.86,492.66,78.18,72.06,47.71
BATCH_1128,2026-04-14 06:13:30,41.0,5.87,67.15,76.45,16.32,41.5,319.15,86.73,89.13,63.85
BATCH_1129,2026-04-14 10:13:30,34.97,6.66,67.18,66.77,28.28,40.98,312.66,87.86,85.63,63.12
BATCH_1130,2026-04-14 14:13:30,24.49,6.64,64.38,73.22,18.78,44.36,319.14,87.55,93.12,65.77
BATCH_1131,2026-04-14 18:13:30,40.69,6.84,60.2,74.25,20.01,48.44,313.15,99.0,99.14,72.97
BATCH_1132,2026-04-14 22:13:30,29.38,9.23,66.73,40.38,25.35,43.93,266.52,92.37,67.3,59.16
BATCH_1133,2026-04-15 02:13:30,44.74,6.91,65.92,104.9,26.36,44.54,462.54,96.12,75.14,57.14
BATCH_1134,2026-04-15 06:13:30,30.81,5.51,56.46,75.83,19.45,24.18,255.04,90.07,93.51,69.12
BATCH_1135,2026-04-15 10:13:30,55.5,7.93,54.26,83.86,18.06,40.5,296.59,89.73,88.15,65.43
BATCH_1136,2026-04-15 14:13:30,32.17,8.38,61.02,94.03,19.72,44.8,389.98,87.19,89.16,61.64
BATCH_1137,2026-04-15 18:13:30,36.78,3.54,75.49,54.58,21.69,47.29,297.88,89.89,70.46,58.37
BATCH_1138,2026-04-15 22:13:30,48.14,7.19,47.61,84.47,24.46,33.08,290.51,95.14,78.81,64.06
BATCH_1139,2026-04-16 02:13:30,27.69,7.4,45.32,69.65,20.02,33.41,239.53,94.22,82.47,66.89
BATCH_1140,2026-04-16 06:13:30,42.27,5.4,61.65,91.94,23.09,34.26,360.55,92.81,91.69,65.9
BATCH_1141,2026-04-16 10:13:30,53.07,8.75,60.51,32.46,28.19,45.36,226.35,90.22,78.39,64.1
BATCH_1142,2026-04-16 14:13:30,23.93,5.7,61.73,73.02,21.91,50.34,325.32,87.13,95.51,66.35
BATCH_1143,2026-04-16 18:13:30,41.85,6.25,62.44,62.94,21.56,35.93,289.64,94.28,90.52,68.43
BATCH_1144,2026-04-16 22:13:30,42.6,5.65,57.77,83.65,12.41,49.08,320.47,80.29,89.04,61.19
BATCH_1145,2026-04-17 02:13:30,47.82,6.03,74.9,84.4,6.85,41.23,359.27,71.49,79.39,52.49
BATCH_1146,2026-04-17 06:13:30,27.63,3.81,43.99,60.85,21.94,38.76,216.64,89.4,74.22,62.43
BATCH_1147,2026-04-17 10:13:30,26.8,3.12,51.72,60.76,19.53,37.89,397.62,86.95,78.9,57.18
BATCH_1148,2026-04-17 14:13:30,45.22,9.19,58.97,72.79,17.43,47.47,281.22,88.65,96.39,68.81
BATCH_1149,2026-04-17 18:13:30,42.97,4.31,43.57,57.07,21.22,43.26,223.09,89.64,68.55,60.04
BATCH_1150,2026-04-17 22:13:30,42.5,4.02,58.24,91.84,19.7,62.76,415.98,87.42,84.37,58.93
BATCH_1151,2026-04-18 02:13:30,43.46,1.69,76.61,67.62,25.64,31.48,332.06,84.36,76.76,57.51
BATCH_1152,2026-04-18 06:13:30,33.2,4.72,60.21,20.0,20.43,45.18,139.06,86.83,71.45,62.94
BATCH_1153,2026-04-18 10:13:30,42.32,3.35,62.31,67.5,16.27,34.71,263.56,81.23,93.03,65.09
BATCH_1154,2026-04-18 14:13:30,42.93,9.28,47.4,54.23,24.95,31.31,223.34,86.82,77.4,62.45
BATCH_1155,2026-04-18 18:13:30,32.86,8.02,53.84,42.37,18.91,39.89,197.58,87.16,75.91,62.86
BATCH_1156,2026-04-18 22:13:30,58.66,4.62,56.25,50.25,22.63,41.37,593.08,92.23,80.36,53.24
BATCH_1157,2026-04-19 02:13:30,44.74,10.5,56.82,77.19,17.61,69.18,325.38,83.46,93.01,63.88
BATCH_1158,2026-04-19 06:13:30,28.09,7.96,72.82,101.57,16.75,38.16,436.37,85.77,69.1,51.47
BATCH_1159,2026-04-19 10:13:30,46.57,5.35,65.58,81.26,20.42,28.7,313.15,94.51,89.93,67.48
BATCH_1160,2026-04-19 14:13:30,30.25,1.0,48.89,62.87,20.06,42.73,239.54,82.94,80.91,61.75
BATCH_1161,2026-04-19 18:13:30,47.87,10.58,62.47,84.12,22.4,19.25,334.23,89.86,88.94,64.51
BATCH_1162,2026-04-19 22:13:30,51.59,3.22,64.98,65.82,18.66,39.08,279.2,88.3,89.43,65.95
BATCH_1163,2026-04-20 02:13:30,31.79,2.71,71.4,61.11,10.82,40.16,245.83,65.69,77.78,53.39
BATCH_1164,2026-04-20 06:13:30,49.63,8.05,75.81,51.91,17.84,47.95,313.69,93.89,68.16,58.51
BATCH_1165,2026-04-20 10:13:30,44.13,10.88,49.85,39.96,23.97,49.74,207.87,91.18,66.38,60.31
BATCH_1166,2026-04-20 14:13:30,48.22,8.77,51.89,67.2,18.51,34.96,267.29,85.29,83.43,62.75
BATCH_1167,2026-04-20 18:13:30,58.97,7.13,47.42,78.16,18.77,38.49,270.31,90.76,84.92,65.43
BATCH_1168,2026-04-20 22:13:30,37.55,7.19,57.66,73.07,24.93,32.34,291.5,96.3,97.6,72.0
BATCH_1169,2026-04-21 02:13:30,32.46,7.71,64.66,66.68,16.44,28.72,276.17,86.42,88.09,64.77
BATCH_1170,2026-04-21 06:13:30,31.1,7.52,69.87,56.09,12.29,43.1,240.6,77.99,77.82,58.5
BATCH_1171,2026-04-21 10:13:30,31.84,6.56,59.24,87.16,19.2,27.26,317.96,93.01,92.92,67.92
BATCH_1172,2026-04-21 14:13:30,39.23,6.21,56.8,48.66,17.58,35.85,202.5,81.99,79.96,62.25
BATCH_1173,2026-04-21 18:13:30,43.41,5.87,61.52,90.52,15.17,30.05,316.79,90.67,89.04,65.47
BATCH_1174,2026-04-21 22:13:30,42.77,4.49,51.65,54.96,19.12,45.5,237.97,86.59,78.85,62.44
BATCH_1175,2026-04-22 02:13:30,48.27,5.44,80.9,59.95,22.46,58.01,366.9,90.69,64.84,54.1
BATCH_1176,2026-04-22 06:13:30,40.13,2.61,43.92,45.66,19.95,26.98,161.07,83.48,65.79,58.59
BATCH_1177,2026-04-22 10:13:30,54.54,5.8,61.85,64.97,21.53,21.47,247.02,95.52,88.63,69.62
BATCH_1178,2026-04-22 14:13:30,37.35,4.02,80.24,94.51,29.07,38.75,511.8,82.32,66.54,46.5
BATCH_1179,2026-04-22 18:13:30,67.2,3.79,60.07,85.31,18.29,40.16,361.72,84.68,92.45,62.91
BATCH_1180,2026-04-22 22:13:30,46.26,6.36,58.1,94.57,21.39,42.19,384.51,93.36,84.07,62.26
BATCH_1181,2026-04-23 02:13:30,31.43,8.78,56.43,85.44,17.45,35.54,301.81,85.81,92.24,65.31
BATCH_1182,2026-04-23 06:13:30,29.29,7.84,58.2,52.93,15.77,37.99,190.64,83.86,86.49,66.01
BATCH_1183,2026-04-23 10:13:30,44.82,2.86,73.73,68.38,17.08,43.68,363.46,85.39,76.93,56.93
BATCH_1184,2026-04-23 14:13:30,37.77,4.02,37.88,59.4,17.61,50.4,201.46,86.13,62.34,56.89
BATCH_1185,2026-04-23 18:13:30,47.14,7.88,75.33,101.61,21.8,20.45,430.74,98.75,67.64,56.27
BATCH_1186,2026-04-23 22:13:30,44.73,4.04,45.76,51.06,31.75,36.31,237.67,78.61,71.41,56.28
BATCH_1187,2026-04-24 02:13:30,39.27,5.55,57.33,92.87,16.42,42.14,358.73,83.69,84.95,59.61
BATCH_1188,2026-04-24 06:13:30,31.53,7.1,55.71,92.86,17.92,30.82,318.24,91.35,82.55,63.1
BATCH_1189,2026-04-24 10:13:30,24.85,4.06,65.89,111.59,19.68,57.31,489.47,80.83,75.97,50.44
BATCH_1190,2026-04-24 14:13:30,35.53,6.21,44.02,66.81,21.98,33.65,240.21,95.81,78.13,65.76
BATCH_1191,2026-04-24 18:13:30,48.56,3.33,64.62,89.25,21.32,39.59,364.01,89.46,85.88,62.12
BATCH_1192,2026-04-24 22:13:30,42.14,4.8,80.24,120.63,26.42,45.56,591.26,86.65,50.63,39.17
BATCH_1193,2026-04-25 02:13:30,27.54,6.64,46.37,62.65,7.87,34.09,194.83,77.99,77.06,59.75
BATCH_1194,2026-04-25 06:13:30,41.73,2.81,61.9,44.3,8.07,21.53,131.17,68.9,80.01,59.46
BATCH_1195,2026-04-25 10:13:30,43.85,6.88,53.38,37.4,17.52,35.71,169.56,87.66,73.68,63.12
BATCH_1196,2026-04-25 14:13:30,31.16,5.96,64.26,89.25,25.49,50.29,383.43,90.35,90.99,63.86
BATCH_1197,2026-04-25 18:13:30,41.54,7.1,60.19,37.34,12.17,36.63,161.66,85.43,80.79,65.34
BATCH_1198,2026-04-25 22:13:30,40.58,6.45,53.59,67.55,5.0,31.54,209.42,74.17,87.45,61.88
BATCH_1199,2026-04-26 02:13:30,28.57,8.73,64.88,83.75,22.86,49.26,370.64,94.61,89.32,65.33
BATCH_1200,2026-04-26 06:13:30,43.58,6.25,78.04,78.7,21.22,36.69,382.9,95.11,77.81,60.51
BATCH_1201,2026-04-26 10:13:30,45.61,5.14,58.09,83.51,14.55,34.9,289.52,79.53,96.09,64.76
BATCH_1202,2026-04-26 14:13:30,50.83,6.24,67.2,79.45,15.07,41.49,771.45,90.12,89.17,49.85
BATCH_1203,2026-04-26 18:13:30,50.54,7.09,47.07,100.58,15.15,47.71,347.8,88.51,68.9,55.5
BATCH_1204,2026-04-26 22:13:30,26.22,6.1,50.44,55.95,20.55,63.82,241.71,93.59,75.49,63.77
BATCH_1205,2026-04-27 02:13:30,30.62,6.08,64.72,61.46,16.87,48.27,303.08,93.97,84.19,65.31
BATCH_1206,2026-04-27 06:13:30,45.15,4.6,74.84,59.55,22.47,51.6,332.17,94.99,75.1,61.1
BATCH_1207,2026-04-27 10:13:30,45.14,4.67,63.56,91.6,5.73,34.94,331.61,70.98,88.74,56.97
BATCH_1208,2026-04-27 14:13:30,45.15,3.19,56.87,93.01,15.72,29.74,323.48,83.35,85.25,60.8
BATCH_1209,2026-04-27 18:13:30,75.0,9.5,59.99,84.02,14.37,40.62,326.35,80.98,93.21,62.94
BATCH_1210,2026-04-27 22:13:30,45.71,3.51,47.5,98.67,18.72,41.07,333.44,86.58,71.36,56.2
BATCH_1211,2026-04-28 02:13:30,51.36,4.61,66.05,51.44,17.31,29.21,237.89,87.86,83.99,65.01
BATCH_1212,2026-04-28 06:13:30,49.54,4.56,68.82,108.34,23.99,38.25,463.85,88.86,73.47,53.52
BATCH_1213,2026-04-28 10:13:30,46.51,7.79,55.48,105.46,10.7,43.99,333.91,74.31,78.4,54.09
BATCH_1214,2026-04-28 14:13:30,36.85,5.41,55.3,89.71,20.23,43.6,323.63,87.24,85.03,62.26
BATCH_1215,2026-04-28 18:13:30,47.59,8.5,62.66,110.64,22.79,45.04,936.24,99.59,76.46,42.96
BATCH_1216,2026-04-28 22:13:30,32.27,4.65,55.63,41.87,29.28,42.91,233.3,80.65,76.9,59.44
BATCH_1217,2026-04-29 02:13:30,37.63,6.56,59.34,64.51,17.59,34.93,241.42,91.04,92.3,69.48
BATCH_1218,2026-04-29 06:13:30,35.15,4.33,81.0,60.29,21.62,34.86,318.07,91.63,66.28,56.7
BATCH_1219,2026-04-29 10:13:30,40.82,10.29,57.53,89.43,10.98,28.01,322.81,76.09,87.45,58.79
BATCH_1220,2026-04-29 14:13:30,63.15,3.62,56.42,54.0,8.04,57.85,239.09,69.96,83.57,57.64
BATCH_1221,2026-04-29 18:13:30,21.33,6.62,53.52,90.15,24.22,40.13,329.22,93.45,83.52,63.95
BATCH_1222,2026-04-29 22:13:30,46.86,7.27,67.44,102.41,19.97,37.75,427.78,96.16,76.9,59.04
BATCH_1223,2026-04-30 02:13:30,23.87,6.83,58.19,88.9,25.89,30.71,362.41,94.51,89.71,65.72
BATCH_1224,2026-04-30 06:13:30,35.28,5.63,53.51,80.68,13.13,69.36,314.15,83.3,87.4,61.96
BATCH_1225,2026-04-30 10:13:30,50.89,5.74,73.21,55.24,22.6,29.27,275.66,93.88,72.73,61.63
BATCH_1226,2026-04-30 14:13:30,40.64,6.09,74.2,58.06,29.34,35.71,298.17,83.36,72.73,56.66
